COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2/25/2022,67378,35207,60.734,31.735,29118,26.247,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",2/1/2021,5
Samoa,WSM,WPRO,REPORTING,2/16/2022,276278,145989,139.243,73.578,130289,65.665,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/18/2021,2
San Marino,SMR,EURO,REPORTING,2/20/2022,64480,24583,190,71.352,21841,63.394,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/24/2021,2
Sao Tome and Principe,STP,AFRO,REPORTING,1/17/2022,182238,88983,83.153,40.602,61405,28.018,"AstraZeneca - Vaxzevria,SII - Covishield",3/15/2021,2
Saudi Arabia,SAU,EMRO,REPORTING,2/27/2022,60747807,25928905,174.493,74.479,24157996,69.392,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/6/2021,4
Senegal,SEN,AFRO,REPORTING,2/22/2022,2473562,1440720,14.773,8.604,1028842,6.145,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2/23/2021,3
Serbia,SRB,EURO,REPORTING,1/23/2022,6612050,3356512,95.5,48.458,3255538,47,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,5
Seychelles,SYC,AFRO,REPORTING,2/22/2022,196959,84074,200.269,85.487,79820,81.162,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",1/10/2021,4
Sierra Leone,SLE,AFRO,REPORTING,2/25/2022,1813692,1480815,22.737,18.564,936846,11.744,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/15/2021,2
Singapore,SGP,WPRO,REPORTING,2/19/2022,13282386,4960920,227.036,84.797,4863511,83.132,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4
